,0
rfh,0.3309977308582895
r1q,0.17945612579957795
rfh_avg,0.12002356247958582
r1h,0.06533886459995354
r1h_avg,0.060542445288926154
r3q,0.05603257145757216
r3h,0.04048187206251818
r3h_avg,0.03830172994889794
year,0.03759302539208339
month,0.0324609024855415
n_pixels,0.019724690973127807
decade_num,0.011840467063146901
district_zone_enc,0.007206011590779185
